epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.521,1.15833,2.11723,1.66823,0.65444,0.62139,0.69973,0.40467,1.35216,2.87323,1.92396,0.000469808,0.000469808,0.000469808
2,37.7664,1.24348,1.49751,1.72215,0.53914,0.67324,0.64452,0.33639,1.50855,3.34492,2.3096,0.000852474,0.000852474,0.000852474
3,56.56,1.21774,1.36435,1.71771,0.62411,0.83574,0.77822,0.39168,1.52874,1.4749,2.01109,0.00114082,0.00114082,0.00114082
4,75.1802,1.26849,1.21825,1.70414,0.75827,0.4045,0.66559,0.35025,1.52485,2.07372,1.95706,0.00100459,0.00100459,0.00100459
5,93.9844,1.20742,1.15939,1.66876,0.71074,0.71451,0.73559,0.44737,1.37329,1.58553,1.87871,0.000863116,0.000863116,0.000863116
6,113.51,1.20049,1.15113,1.65599,0.79845,0.74492,0.81002,0.48733,1.39861,1.22046,1.9631,0.000721645,0.000721645,0.000721645
7,132.836,1.14855,1.01228,1.61801,0.88894,0.83631,0.89039,0.56857,1.28334,0.89596,1.76414,0.000580174,0.000580174,0.000580174
8,152.353,1.07722,0.92356,1.51266,0.86895,0.86171,0.92639,0.60652,1.22705,0.80766,1.71428,0.000438703,0.000438703,0.000438703
9,171.787,1.0412,0.80915,1.51457,0.91439,0.85416,0.93457,0.62209,1.22301,0.78454,1.68034,0.000297232,0.000297232,0.000297232
10,191.3,0.99205,0.79355,1.45838,0.9446,0.85228,0.94492,0.63895,1.26751,0.7318,1.67875,0.000155761,0.000155761,0.000155761
